zone,population,placename,category,description,total10,total11,total12,total13,total14,total15,total16,total17,total18,total19,total20,total21,total22,total23,2024,2025,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
04,3600,East Fayetteville,Robbery,ROBBERY OF DELIVERY DRIVER,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
04,3600,East Fayetteville,Theft,LARCENY - MEDICATION,0,0,0,0,0,3,3,1,2,3,1,4,3,2,7,0,6,8,2.7,0,100,100,122,83.3,27.8,111.1,83.3,166.7,75
04,3600,East Fayetteville,Aggravated Assault,AGG ASSAULT OFFICER FELONY,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2,3,2,0.7,NA,NA,200,329,0,0,27.8,27.8,83.3,19.4
04,3600,East Fayetteville,Aggravated Assault,AGG ASLT SEX MOTIVE,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.3,NA,NA,NA,-100,0,27.8,0,0,0,8.3
04,3600,East Fayetteville,Burglary,BURGLARY - SHOPLIFTING ESCALATION,0,0,0,0,0,0,0,0,2,0,0,5,1,0,0,0,0,6,2,NA,NA,-100,-100,0,0,138.9,27.8,0,55.6
04,3600,East Fayetteville,Other/Unknown,ALL OTHER - BLACKMAIL/EXTORTION,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0.3,0,-100,-100,-100,27.8,0,0,27.8,0,8.3
04,3600,East Fayetteville,Other/Unknown,EMBEZZLEMENT - VIA PAPER,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.3,0,-100,-100,-100,27.8,0,0,27.8,0,8.3
04,3600,East Fayetteville,Other/Unknown,FRAUD - WELFARE,0,0,0,0,0,0,0,0,0,2,5,7,1,1,0,0,0,13,4.3,-50,-100,-100,-100,55.6,138.9,194.4,27.8,0,119.4
04,3600,East Fayetteville,Other/Unknown,IDENTITY THEFT,0,0,0,0,0,0,0,0,0,4,2,6,1,5,10,0,8,9,3,-75,100,700,167,111.1,55.6,166.7,27.8,222.2,83.3
04,3600,East Fayetteville,Theft,HABITUAL LARCENY,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-100,-100,NA,NA,27.8,0,0,0,0,0
04,3600,East Fayetteville,Motor Vehicle Theft,FRAUD - UNAUTHORIZED USE OF CONVEYANCE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.3,NA,NA,NA,-100,0,0,27.8,0,0,8.3
04,3600,East Fayetteville,Other/Unknown,HACKING/COMPUTER INVASION,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0.7,NA,NA,NA,-100,0,0,55.6,0,0,19.4
04,3600,East Fayetteville,Aggravated Assault,AGG ASSAULT OFFICER MISD,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.3,NA,NA,0,233,0,0,0,27.8,27.8,8.3
04,3600,East Fayetteville,Other/Unknown,FORGERY - POSSESSION / CONCEAL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
04,3600,East Fayetteville,Other/Unknown,LARCENY BY SERVANTS AND OTHER EMPLOYEES,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
04,3600,East Fayetteville,Other/Unknown,UNAUTHORIZED USE OF MOTOR VEHICLE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
04,3600,East Fayetteville,Other/Unknown,VANDALISM-TO REAL PROPERTY WILLFUL AND WANTON INJURY,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
04,3600,East Fayetteville,Theft,SHOPLIFTING,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
04,3600,East Fayetteville,Aggravated Assault,ASSAULT INFLICTING SERIOUS INJURY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
04,3600,East Fayetteville,Burglary,BREAKING OR ENTERING BUILDINGS GENERALLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,0,0,0,0,27.8,0
04,3600,East Fayetteville,Burglary,SAFECRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,0,0,0,0,27.8,0
04,3600,East Fayetteville,Other/Unknown,ASSAULT ON A FEMALE BY MALE OVER 18 YEARS OF AGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,0,0,0,0,27.8,0
04,3600,East Fayetteville,Other/Unknown,INJURY TO PERSONAL PROPERTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,NA,NA,NA,NA,0,0,0,0,55.6,0
04,3600,East Fayetteville,Other/Unknown,POSSESSING STOLEN GOODS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
05,3700,Southwest of Downtown,Aggravated Assault,AGGRAVATED ASSAULT,26,13,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
05,3700,Southwest of Downtown,Aggravated Assault,AGGRAVATED ASSAULT - DOMESTIC,3,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
05,3700,Southwest of Downtown,Aggravated Assault,ALL OTHER,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
05,3700,Southwest of Downtown,Burglary,BURGLARY - FORCIBLE ENTRY - BUSINESS,41,26,32,37,14,15,22,37,16,14,28,11,27,27,17,6,14,66,22,92.9,0,-48.1,-36,378.4,756.8,297.3,729.7,378.4,594.6
05,3700,Southwest of Downtown,Burglary,BURGLARY - FORCIBLE ENTRY - RESIDENCE,36,46,89,39,34,35,29,41,16,16,25,19,24,14,17,12,28,68,22.7,50,75,16.7,23,432.4,675.7,513.5,648.6,756.8,613.5
05,3700,Southwest of Downtown,Burglary,BURGLARY - NO FORCE ENTRY - BUSINESS,3,5,2,5,4,6,0,6,5,6,2,1,2,11,5,0,2,5,1.7,-66.7,-66.7,0,18,162.2,54.1,27,54.1,54.1,45.9
05,3700,Southwest of Downtown,Burglary,BURGLARY - NO FORCE ENTRY - RESIDENCE,14,22,24,17,11,15,20,19,15,11,9,8,15,9,17,4,20,32,10.7,36.4,81.8,33.3,87,297.3,243.2,216.2,405.4,540.5,289.2
05,3700,Southwest of Downtown,Motor Vehicle Theft,MOTOR VEHICLE THEFT - AUTOMOBILE,30,20,22,18,18,20,22,17,18,12,30,21,26,34,45,11,49,77,25.7,116.7,308.3,88.5,91,324.3,810.8,567.6,702.7,1324.3,694.6
05,3700,Southwest of Downtown,Motor Vehicle Theft,MOTOR VEHICLE THEFT - BUS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
05,3700,Southwest of Downtown,Motor Vehicle Theft,MOTOR VEHICLE THEFT - OTHER VEHICLE,2,4,5,2,2,6,7,7,3,2,1,2,1,11,4,0,3,4,1.3,-50,50,200,131,54.1,27,54.1,27,81.1,35.1
05,3700,Southwest of Downtown,Motor Vehicle Theft,MOTOR VEHICLE THEFT - TRUCK,4,9,1,4,1,5,4,3,4,2,2,7,5,4,6,0,3,14,4.7,150,50,-40,-36,54.1,54.1,189.2,135.1,81.1,127
05,3700,Southwest of Downtown,Other/Unknown,ALL OTHER - BLACKMAIL/EXTORTION,2,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,3,1,NA,NA,-100,-100,0,27,27,27,0,27
05,3700,Southwest of Downtown,Other/Unknown,ALL OTHER - COMMUNICATING THREATS,22,25,24,27,37,32,37,40,31,20,25,19,31,29,29,2,27,75,25,55,35,-12.9,8,540.5,675.7,513.5,837.8,729.7,675.7
05,3700,Southwest of Downtown,Other/Unknown,ARSON,6,2,4,3,5,2,4,2,4,3,1,2,8,9,6,0,5,11,3.7,166.7,66.7,-37.5,35,81.1,27,54.1,216.2,135.1,100
05,3700,Southwest of Downtown,Other/Unknown,ASSAULT - DOMESTIC VIOLENCE,21,18,22,22,19,15,15,13,13,17,28,24,14,12,10,0,8,66,22,-17.6,-52.9,-42.9,-64,459.5,756.8,648.6,378.4,216.2,594.6
05,3700,Southwest of Downtown,Other/Unknown,ASSAULT - NON PHYSICAL,2,1,0,1,1,1,0,0,0,0,1,1,1,0,3,0,3,3,1,NA,NA,200,200,0,27,27,27,81.1,27
05,3700,Southwest of Downtown,Other/Unknown,ASSAULT - PHYSICAL OFFICER,6,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
05,3700,Southwest of Downtown,Other/Unknown,ASSAULT - SIMPLE DOMESTIC,7,23,33,42,28,52,41,33,30,10,9,16,15,19,32,12,39,40,13.3,50,290,160,193,270.3,243.2,432.4,405.4,1054.1,359.5
05,3700,Southwest of Downtown,Other/Unknown,ASSAULT - SIMPLE PHYSICAL,48,50,35,59,60,68,60,45,42,33,34,34,25,43,38,33,62,93,31,-24.2,87.9,148,100,891.9,918.9,918.9,675.7,1675.7,837.8
05,3700,Southwest of Downtown,Other/Unknown,COUNTERFEIT - USING,1,2,2,10,3,8,6,7,4,6,1,1,3,6,3,0,2,5,1.7,-50,-66.7,-33.3,18,162.2,27,27,81.1,54.1,45.9
05,3700,Southwest of Downtown,Other/Unknown,EMBEZZLEMENT - ALL OTHER,1,6,3,4,0,2,6,7,8,3,4,3,7,4,3,0,3,14,4.7,133.3,0,-57.1,-36,81.1,108.1,81.1,189.2,81.1,127
05,3700,Southwest of Downtown,Other/Unknown,EMBEZZLEMENT - VIA PAPER,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.3,NA,NA,NA,-100,0,27,0,0,0,8.1
05,3700,Southwest of Downtown,Other/Unknown,FRAUD - CREDIT CARD / ATM,18,6,19,8,9,10,18,12,45,27,30,20,31,20,15,3,15,81,27,14.8,-44.4,-51.6,-44,729.7,810.8,540.5,837.8,405.4,729.7
05,3700,Southwest of Downtown,Other/Unknown,FRAUD - FALSE PRETENSE,13,14,24,20,14,28,30,40,49,38,15,8,24,32,22,3,20,47,15.7,-36.8,-47.4,-16.7,27,1027,405.4,216.2,648.6,540.5,424.3
05,3700,Southwest of Downtown,Other/Unknown,FRAUD - IMPERSONATION,2,1,4,2,5,6,6,4,4,0,1,2,0,1,4,0,4,3,1,NA,NA,NA,300,0,27,54.1,0,108.1,27
05,3700,Southwest of Downtown,Other/Unknown,FRAUD - OTHER,9,9,8,18,13,9,5,4,8,1,1,2,1,5,10,3,10,4,1.3,0,900,900,669,27,27,54.1,27,270.3,35.1
05,3700,Southwest of Downtown,Other/Unknown,FRAUD - UNAUTHORIZED USE OF CONVEYANCE,13,16,9,12,7,12,12,23,15,13,10,12,12,10,20,6,26,34,11.3,-7.7,100,116.7,130,351.4,270.3,324.3,324.3,702.7,305.4
05,3700,Southwest of Downtown,Other/Unknown,FRAUD - WORTHLESS CHECK,5,6,2,2,5,5,1,1,2,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
05,3700,Southwest of Downtown,Other/Unknown,PHYSICAL ASLT - SEXUAL MOTIVE,1,0,1,1,1,4,3,0,0,0,0,0,1,2,0,0,0,1,0.3,NA,NA,-100,-100,0,0,0,27,0,8.1
05,3700,Southwest of Downtown,Other/Unknown,SIMPLE ASLT ALL OTHER,9,11,9,2,7,5,9,2,4,7,2,2,6,1,1,3,4,10,3.3,-14.3,-42.9,-33.3,21,189.2,54.1,54.1,162.2,108.1,89.2
05,3700,Southwest of Downtown,Other/Unknown,STOLEN PROPERTY - BUY / RECEIVE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
05,3700,Southwest of Downtown,Other/Unknown,STOLEN PROPERTY - POSSESSION,14,11,12,5,3,6,16,76,67,13,7,5,11,19,9,0,7,23,7.7,-15.4,-46.2,-36.4,-9,351.4,189.2,135.1,297.3,189.2,208.1
05,3700,Southwest of Downtown,Other/Unknown,VANDALISM / DAMAGE TO PROPERTY,98,81,96,83,93,97,99,108,106,72,87,91,107,84,109,15,107,285,95,48.6,48.6,0,13,1945.9,2351.4,2459.5,2891.9,2891.9,2567.6
05,3700,Southwest of Downtown,Robbery,ROBBERY - BUSINESS,9,5,12,9,4,2,5,6,4,6,5,3,13,7,1,2,3,21,7,116.7,-50,-76.9,-57,162.2,135.1,81.1,351.4,81.1,189.2
05,3700,Southwest of Downtown,Robbery,ROBBERY - INDIVIDUAL,17,23,19,32,16,14,11,4,10,13,9,17,13,11,16,0,14,39,13,0,7.7,7.7,8,351.4,243.2,459.5,351.4,378.4,351.4
05,3700,Southwest of Downtown,Theft,LARCENY - ALL OTHER,122,120,144,118,120,107,87,78,73,66,51,46,69,70,145,15,128,166,55.3,4.5,93.9,85.5,131,1783.8,1378.4,1243.2,1864.9,3459.5,1494.6
05,3700,Southwest of Downtown,Theft,LARCENY - AUTOMOBILE ACCESSORIES,11,27,12,26,16,21,30,34,30,22,29,42,79,33,28,4,23,150,50,259.1,4.5,-70.9,-54,594.6,783.8,1135.1,2135.1,621.6,1351.4
05,3700,Southwest of Downtown,Theft,LARCENY - BICYCLE,2,6,2,1,3,7,9,4,2,2,2,1,3,1,5,0,4,6,2,50,100,33.3,100,54.1,54.1,27,81.1,108.1,54.1
05,3700,Southwest of Downtown,Theft,LARCENY - COIN-OPERATED DEVICE,1,2,1,0,1,3,1,2,5,3,1,3,5,2,1,0,1,9,3,66.7,-66.7,-80,-67,81.1,27,81.1,135.1,27,81.1
05,3700,Southwest of Downtown,Theft,LARCENY - FROM BUILDING,12,19,18,10,11,28,41,49,37,32,32,29,25,20,21,6,23,86,28.7,-21.9,-28.1,-8,-20,864.9,864.9,783.8,675.7,621.6,775.7
05,3700,Southwest of Downtown,Theft,LARCENY - FROM MOTOR VEHICLE,77,50,57,55,40,62,85,85,38,43,47,55,61,69,64,14,71,163,54.3,41.9,65.1,16.4,31,1162.2,1270.3,1486.5,1648.6,1918.9,1467.6
05,3700,Southwest of Downtown,Theft,LARCENY - POCKET-PICKING,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
05,3700,Southwest of Downtown,Theft,LARCENY - PURSESNATCHING,2,2,3,0,0,0,1,0,1,1,0,2,0,0,1,0,0,2,0.7,-100,-100,NA,-100,27,0,54.1,0,0,18.9
05,3700,Southwest of Downtown,Theft,LARCENY - SHOPLIFTING,47,46,44,75,64,53,138,284,258,169,122,84,107,124,242,69,246,313,104.3,-36.7,45.6,129.9,136,4567.6,3297.3,2270.3,2891.9,6648.6,2818.9
05,3700,Southwest of Downtown,Aggravated Assault,AGGRAVATED ASSAULT - OFFICER,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
05,3700,Southwest of Downtown,Murder,CRIMINAL HOMICIDE - MURDER,0,1,0,1,0,0,0,0,1,2,1,4,1,2,4,0,4,6,2,-50,100,300,100,54.1,27,108.1,27,108.1,54.1
05,3700,Southwest of Downtown,Other/Unknown,ALL OTHER - KIDNAPPING,0,2,4,0,2,2,3,2,3,2,2,3,2,5,2,2,4,7,2.3,0,100,100,74,54.1,54.1,81.1,54.1,108.1,62.2
05,3700,Southwest of Downtown,Other/Unknown,ALL OTHER - STALKING,0,6,4,2,3,1,3,3,1,3,0,3,10,2,7,2,8,13,4.3,233.3,166.7,-20,86,81.1,0,81.1,270.3,216.2,116.2
05,3700,Southwest of Downtown,Other/Unknown,COUNTERFEIT - BUY / RECEIVE,0,1,2,1,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0.3,NA,NA,NA,-100,0,27,0,0,0,8.1
05,3700,Southwest of Downtown,Other/Unknown,COUNTERFEIT - POSSESSION / CONCEAL,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
05,3700,Southwest of Downtown,Other/Unknown,FORGERY - USING / UTTERING,0,6,2,3,4,5,1,3,2,0,4,1,1,3,1,0,1,6,2,NA,NA,0,-50,0,108.1,27,27,27,54.1
05,3700,Southwest of Downtown,Other/Unknown,OTHER - THREATENING PHONE CALL,0,3,5,4,0,1,0,1,1,0,1,1,0,1,0,0,0,2,0.7,NA,NA,NA,-100,0,27,27,0,0,18.9
05,3700,Southwest of Downtown,Theft,LARCENY - GAS,0,3,1,1,2,2,1,3,4,1,0,0,1,1,0,0,0,1,0.3,0,-100,-100,-100,27,0,0,27,0,8.1
05,3700,Southwest of Downtown,Burglary,BURGLARY - FORCE ENTRY - RES - HOMEINVS,0,0,4,2,3,4,2,2,1,3,4,0,1,5,1,4,4,5,1.7,-66.7,33.3,300,135,81.1,108.1,0,27,108.1,45.9
05,3700,Southwest of Downtown,Other/Unknown,COUNTERFEIT- UNDETERMINED,0,0,1,0,0,3,0,0,0,0,0,1,0,0,1,0,0,1,0.3,NA,NA,NA,-100,0,0,27,0,0,8.1
05,3700,Southwest of Downtown,Other/Unknown,FRAUD - LARCENY BY TRICKERY,0,0,1,0,0,1,4,5,41,38,58,22,22,11,2,1,2,102,34,-42.1,-94.7,-90.9,-94,1027,1567.6,594.6,594.6,54.1,918.9
05,3700,Southwest of Downtown,Aggravated Assault,AGG ASSAULT DOMESTIC FELONY,0,0,0,2,1,2,0,3,4,5,2,6,4,3,6,3,7,12,4,-20,40,75,75,135.1,54.1,162.2,108.1,189.2,108.1
05,3700,Southwest of Downtown,Aggravated Assault,AGG ASSAULT DOMESTIC MISD,0,0,0,5,4,2,13,9,9,6,4,6,5,7,6,0,5,15,5,-16.7,-16.7,0,0,162.2,108.1,162.2,135.1,135.1,135.1
05,3700,Southwest of Downtown,Aggravated Assault,AGG ASSAULT FELONY,0,0,0,7,10,3,8,2,10,8,6,8,10,17,17,4,20,24,8,25,150,100,150,216.2,162.2,216.2,270.3,540.5,216.2
05,3700,Southwest of Downtown,Aggravated Assault,AGG ASSAULT MISDEMEANOR,0,0,0,11,10,19,30,25,28,19,34,21,34,18,14,2,15,89,29.7,78.9,-21.1,-55.9,-49,513.5,918.9,567.6,918.9,405.4,802.7
05,3700,Southwest of Downtown,Aggravated Assault,SHOOT INTO OCCUP DWELL FEL,0,0,0,2,0,0,0,6,0,1,10,3,10,6,2,2,2,23,7.7,900,100,-80,-74,27,270.3,81.1,270.3,54.1,208.1
05,3700,Southwest of Downtown,Other/Unknown,ASSAULT - SIMPLE - OFFICER,0,0,0,5,3,0,0,4,2,1,1,0,1,3,0,0,0,2,0.7,0,-100,-100,-100,27,27,0,27,0,18.9
05,3700,Southwest of Downtown,Other/Unknown,FORGERY -  PRESCRIPTIONS,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
05,3700,Southwest of Downtown,Other/Unknown,FRAUD - COMPUTER,0,0,0,1,0,0,0,0,1,8,5,8,10,4,3,0,3,23,7.7,25,-62.5,-70,-61,216.2,135.1,216.2,270.3,81.1,208.1
05,3700,Southwest of Downtown,Robbery,ROBBERY - SHOPLIFTING ESCALATION,0,0,0,3,1,0,2,2,2,4,2,0,1,3,2,0,2,3,1,-75,-50,100,100,108.1,54.1,0,27,54.1,27
05,3700,Southwest of Downtown,Aggravated Assault,SHOOT INTO OCCUP VEH FEL,0,0,0,0,0,1,0,0,3,1,3,5,3,2,4,0,4,11,3.7,200,300,33.3,8,27,81.1,135.1,81.1,108.1,100
05,3700,Southwest of Downtown,Other/Unknown,FORGERY - UNDETERMINED,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0.3,NA,NA,NA,-100,0,0,27,0,0,8.1
05,3700,Southwest of Downtown,Theft,LARCENY - MEDICATION,0,0,0,0,0,4,7,3,5,4,2,3,0,4,1,0,1,5,1.7,-100,-75,NA,-41,108.1,54.1,81.1,0,27,45.9
05,3700,Southwest of Downtown,Aggravated Assault,AGG ASSAULT OFFICER FELONY,0,0,0,0,0,0,1,0,1,0,0,0,2,3,0,0,0,2,0.7,NA,NA,-100,-100,0,0,0,54.1,0,18.9
05,3700,Southwest of Downtown,Other/Unknown,BEATING TAXI FARE,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0.3,-100,-100,NA,-100,27,27,0,0,0,8.1
05,3700,Southwest of Downtown,Other/Unknown,NON-PHYSICAL ASSAULT SEXUAL MOTIVE,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
05,3700,Southwest of Downtown,Burglary,BURGLARY - SHOPLIFTING ESCALATION,0,0,0,0,0,0,0,0,9,19,5,2,11,6,13,7,19,18,6,-42.1,0,72.7,217,513.5,135.1,54.1,297.3,513.5,162.2
05,3700,Southwest of Downtown,Other/Unknown,FRAUD- FALSE PRETENSE/TRICKERY,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,3,1,NA,NA,NA,-100,0,81.1,0,0,0,27
05,3700,Southwest of Downtown,Other/Unknown,POSSESSING STOLEN GOODS,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,4,0,0,NA,NA,NA,NA,0,0,0,0,108.1,0
05,3700,Southwest of Downtown,Other/Unknown,FRAUD - WELFARE,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,2,4,3,1,100,300,100,300,27,0,27,54.1,108.1,27
05,3700,Southwest of Downtown,Other/Unknown,IDENTITY THEFT,0,0,0,0,0,0,0,0,0,4,1,3,5,9,8,2,9,9,3,25,125,80,200,108.1,27,81.1,135.1,243.2,81.1
05,3700,Southwest of Downtown,Other/Unknown,HACKING/COMPUTER INVASION,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,4,1.3,NA,NA,-100,-100,0,54.1,27,27,0,35.1
05,3700,Southwest of Downtown,Aggravated Assault,AGG ASSAULT OFFICER MISD,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.3,NA,NA,-100,-100,0,0,0,27,0,8.1
05,3700,Southwest of Downtown,Motor Vehicle Theft,MOTOR VEHICLE THEFT - RECREATIONAL VEHICLE,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,0.3,NA,NA,0,233,0,0,0,27,27,8.1
05,3700,Southwest of Downtown,Theft,LARCENY AFTER B&E,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0.3,NA,NA,0,233,0,0,0,27,27,8.1
05,3700,Southwest of Downtown,Burglary,BREAKING OR ENTERING BUILDINGS GENERALLY,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,0,0,NA,NA,NA,NA,0,0,0,0,81.1,0
05,3700,Southwest of Downtown,Other/Unknown,ARSON-2ND DEGREE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
05,3700,Southwest of Downtown,Other/Unknown,HOMICIDE NEGLIGENCE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
05,3700,Southwest of Downtown,Robbery,COMMON LAW ROBBERY,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
05,3700,Southwest of Downtown,Robbery,ROBBERY WITH FIREARMS OR OTHER DANGEROUS WEAPONS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
05,3700,Southwest of Downtown,Burglary,BREAKING AND ENTERING - BUILDING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,NA,NA,NA,NA,0,0,0,0,27,0
05,3700,Southwest of Downtown,Other/Unknown,ASSAULT ON A FEMALE BY MALE OVER 18 YEARS OF AGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,0,0,0,0,27,0
05,3700,Southwest of Downtown,Other/Unknown,FAILURE TO RETURN HIRED PROPERTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,0,0,0,0,27,0
05,3700,Southwest of Downtown,Other/Unknown,SIMPLE ASSAULT SIMPLE ASSAULT&BATTERY OR AFFRAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,NA,NA,NA,NA,0,0,0,0,27,0
05,3700,Southwest of Downtown,Other/Unknown,VANDALISM-TO REAL PROPERTY WILLFUL AND WANTON INJURY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
05,3700,Southwest of Downtown,Theft,HABITUAL LARCENY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
05,3700,Southwest of Downtown,Theft,LARCENY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,NA,NA,NA,NA,0,0,0,0,162.2,0
05,3700,Southwest of Downtown,Theft,"LARCENY, POSSESS, OR RECEIVE STOLEN GOODS FROM CONSTRUCTION",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
05,3700,Southwest of Downtown,Theft,MOTOR VEHICLE THEFT - OTHER VEHICLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
05,3700,Southwest of Downtown,Burglary,BREAKING AND ENTERING-BUILDING  (FELONY),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,0,0,0,0,27,0
05,3700,Southwest of Downtown,Theft,SHOPLIFTING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,0,0,0,0,27,0
06,8200,Bordeaux and Holiday Park,Aggravated Assault,AGGRAVATED ASSAULT,14,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
06,8200,Bordeaux and Holiday Park,Aggravated Assault,AGGRAVATED ASSAULT - DOMESTIC,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
06,8200,Bordeaux and Holiday Park,Aggravated Assault,ALL OTHER,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0
06,8200,Bordeaux and Holiday Park,Burglary,BURGLARY - FORCIBLE ENTRY - BUSINESS,19,34,32,24,7,7,14,14,22,15,20,12,16,11,11,3,13,48,16,6.7,-13.3,-18.8,-19,182.9,243.9,146.3,195.1,158.5,195.1
06,8200,Bordeaux and Holiday Park,Burglary,BURGLARY - FORCIBLE ENTRY - RESIDENCE,107,159,159,97,93,70,57,46,47,38,22,16,21,14,28,4,31,59,19.7,-44.7,-18.4,47.6,57,463.4,268.3,195.1,256.1,378,240.2
